Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,4.7u,C_0603_1608Metric,138.9634,-97.7646,180,bottom
C2,100n,C_0603_1608Metric,140.462,-100.9396,180,bottom
C3,100n,C_0603_1608Metric,137.414,-100.9396,0,bottom
C4,100n,C_0603_1608Metric,137.414,-99.3902,0,bottom
C5,100n,C_0603_1608Metric,140.466399,-99.392601,180,bottom
C8,15p,C_0603_1608Metric,150.8,-100.1,180,bottom
C9,10p,C_0603_1608Metric,148.7,-103.5,90,bottom
C10,10p,C_0603_1608Metric,151.1,-103.5,90,bottom
C11,15p,C_0603_1608Metric,150.8,-98.1,180,bottom
C12,100n,C_0603_1608Metric,139.2936,-106.5784,0,bottom
C13,100n,C_0603_1608Metric,136.9568,-108.8644,90,bottom
C15,10u,C_0603_1608Metric,136.2456,-117.602,180,bottom
C16,10u,C_0603_1608Metric,140.97,-118.364,270,bottom
C21,10n,C_0603_1608Metric,148.7,-92.7,180,bottom
C24,100n,C_0603_1608Metric,153.8,-89.2,270,bottom
C27,2.2n,C_0603_1608Metric,150.2,-85.6,0,bottom
C28,100n,C_0603_1608Metric,151.8,-92.7,0,bottom
R1,1k,R_0603_1608Metric,128.3462,-109.982,180,bottom
R2,1k,R_0603_1608Metric,145.9484,-103.4288,270,bottom
R3,1k,R_0603_1608Metric,133.2992,-94.0308,180,bottom
R4,4.7k,R_0603_1608Metric,139.2936,-109.6264,0,bottom
R5,4.7k,R_0603_1608Metric,139.2936,-108.1024,0,bottom
R6,4.7k,R_0603_1608Metric,139.1,-83.15,270,bottom
R7,4.7k,R_0603_1608Metric,137.6,-83.15,270,bottom
R8,1M,R_0603_1608Metric,148,-99.1,270,bottom
R13,10k,R_0603_1608Metric,130.25,-76.7,270,bottom
R14,10k,R_0603_1608Metric,130.2766,-122.3264,90,bottom
R17,10k,R_0603_1608Metric,147.75,-76.75,270,bottom
R18,10k,R_0603_1608Metric,147.8,-122.3,90,bottom
